ID,Correo,Telefono ,Puesto solicitado ,Peso_puesto,Experiencia laboral (en años),Certificaciones relevantes ,Peso_certificacion,Salario deseado,Peso_Salario
33,ssmith23@yahoo.com,4920318476, Gerente de proyectos,58.92468905,3,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",1,35000,5
34,jgonzalez@gmail.com,4925871930, Jefe de obra,92.49258194,10,,0,10000,10
35,rachel.parker@yahoo.com,4924091568, Obrero,31.36666912,1,,0,20000,8
36,aaron.johnson@outlook.com,4926412087, Jefe de obra,63.03564258,6,,0,40000,2
37,jkelly67@gmail.com,4927103856, Gerente de proyectos,54.87862869,4,Certificación en seguridad ocupacional (OSHA),1,30000,6
38,amanda.miller@hotmail.com,4928936041, Arquitecto,29.01680851,5,Certificación en construcción sostenible (LEED),1,15000,9
39,t.wilson23@yahoo.com,4921470385, Ingeniero civil,66.43004801,7,Certificación en diseño estructural,1,25000,7
40,s.carter42@gmail.com,4926891753, Obrero,78.58261262,9,Certificación en diseño asistido por computadora (CAD),1,20000,8
41,perez.luisa@yahoo.com,4920163874, Gerente de proyectos,12.51691875,2,,0,25000,7
42,jessie.jackson@outlook.com,4929257401, Obrero,52.93850076,3,Certificación en gestión ambiental (ISO 14001),1,40000,2
43,j.adams25@hotmail.com,4921078365, Arquitecto,18.9306386,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
44,danny.brown@gmail.com,4925861074, Jefe de obra,26.24567893,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
45,rjones18@yahoo.com,4923948710, Ingeniero civil,8.343371248,1,Certificación en construcción sostenible (LEED),1,35000,5
46,l.hernandez31@gmail.com,4928630741, Obrero,82.98947787,5,,0,10000,10
47,karen.baker@hotmail.com,4924591783, Gerente de proyectos,71.05669323,7,,0,30000,6
48,daniel.turner@yahoo.com,4922380974, Jefe de obra,22.10983111,9,,0,20000,8
49,catherine_lee@gmail.com,4925738410, Arquitecto,64.38107485,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
50,kevin.walker23@yahoo.com,4929410853, Jefe de obra,97.70136385,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
51,jenny.martin12@outlook.com,4920623578, Ingeniero civil,15.46135885,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
52,bethany.russell@gmail.com,4923157890, Obrero,79.34842482,3,,0,40000,2
53,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,44.65898169,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
54,sara.andrews@hotmail.com,4924059182, Arquitecto,20.71609793,9,Certificación en gestión de riesgos de construcción,1,35000,5
55,j.white12@gmail.com,4921098653, Ingeniero civil,15.61633019,7,,0,15000,9
56,jennifer.scott23@yahoo.com,4928195730, Obrero,89.30787808,2,,0,20000,8
57,jason.cook@gmail.com,4924870165, Jefe de obra,22.00640712,10,Certificación en construcción sostenible (LEED),1,25000,7
58,j.barnes42@hotmail.com,4926731098, Gerente de proyectos,65.96147016,6,"Certificación en diseño estructural, Certificación en seguridad ocupacional (OSHA)",2,40000,2
59,tiffany.wong@outlook.com,4925308176, Arquitecto,66.0693644,4,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",2,15000,9
60,nathan.murray@yahoo.com,4929270413, Obrero,69.57725266,5,,0,30000,6
61,jessica97@hotmail.com,4927364851, Ingeniero civil,28.2166708,8,"Certificación en construcción sostenible (LEED) , Certificación en seguridad ocupacional (OSHA), Certificación en seguridad ocupacional (OSHA)",3,15000,9
62,mrodriguez@gmail.com,4929586102, Arquitecto,6.64105219,2,Certificación en diseño estructural,1,20000,8
63,ssmith23@yahoo.com,4920318476, Gerente de proyectos,43.10302548,3,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",1,35000,5
64,jgonzalez@gmail.com,4925871930, Jefe de obra,93.20838292,10,,0,10000,10
65,rachel.parker@yahoo.com,4924091568, Obrero,75.06438646,1,,0,20000,8
66,aaron.johnson@outlook.com,4926412087, Jefe de obra,18.37168552,6,,0,40000,2
67,jkelly67@gmail.com,4927103856, Gerente de proyectos,51.69148085,4,Certificación en seguridad ocupacional (OSHA),1,30000,6
68,amanda.miller@hotmail.com,4928936041, Arquitecto,49.64453155,5,Certificación en construcción sostenible (LEED),1,15000,9
69,t.wilson23@yahoo.com,4921470385, Ingeniero civil,39.50042031,7,Certificación en diseño estructural,1,25000,7
70,s.carter42@gmail.com,4926891753, Obrero,60.43433256,9,Certificación en diseño asistido por computadora (CAD),1,20000,8
71,perez.luisa@yahoo.com,4920163874, Gerente de proyectos,99.50060351,2,,0,25000,7
72,jessie.jackson@outlook.com,4929257401, Obrero,14.02057348,3,Certificación en gestión ambiental (ISO 14001),1,40000,2
73,j.adams25@hotmail.com,4921078365, Arquitecto,47.4252571,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
74,danny.brown@gmail.com,4925861074, Jefe de obra,23.8907525,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
75,rjones18@yahoo.com,4923948710, Ingeniero civil,17.20273017,1,Certificación en construcción sostenible (LEED),1,35000,5
76,l.hernandez31@gmail.com,4928630741, Obrero,37.4448145,5,,0,10000,10
77,karen.baker@hotmail.com,4924591783, Gerente de proyectos,24.51090003,7,,0,30000,6
78,daniel.turner@yahoo.com,4922380974, Jefe de obra,2.695752876,9,,0,20000,8
79,catherine_lee@gmail.com,4925738410, Arquitecto,74.16846944,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
80,kevin.walker23@yahoo.com,4929410853, Jefe de obra,87.45044409,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
81,jenny.martin12@outlook.com,4920623578, Ingeniero civil,3.754495342,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
82,bethany.russell@gmail.com,4923157890, Obrero,27.62649905,3,,0,40000,2
83,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,70.66840498,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
84,sara.andrews@hotmail.com,4924059182, Arquitecto,14.87353768,9,Certificación en gestión de riesgos de construcción,1,35000,5
85,j.white12@gmail.com,4921098653, Ingeniero civil,3.080041226,7,,0,15000,9
86,jennifer.scott23@yahoo.com,4928195730, Obrero,62.56838535,2,,0,20000,8
87,jason.cook@gmail.com,4924870165, Jefe de obra,74.31910118,10,Certificación en construcción sostenible (LEED),1,25000,7
88,j.barnes42@hotmail.com,4926731098, Gerente de proyectos,67.27110107,6,"Certificación en diseño estructural, Certificación en seguridad ocupacional (OSHA)",2,40000,2
89,tiffany.wong@outlook.com,4925308176, Arquitecto,91.46587073,4,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",2,15000,9
90,nathan.murray@yahoo.com,4929270413, Obrero,53.96668067,5,,0,30000,6
91,jessica97@hotmail.com,4927364851, Ingeniero civil,51.51148021,8,"Certificación en construcción sostenible (LEED) , Certificación en seguridad ocupacional (OSHA), Certificación en seguridad ocupacional (OSHA)",3,15000,9
92,mrodriguez@gmail.com,4929586102, Arquitecto,5.564312205,2,Certificación en diseño estructural,1,20000,8
93,ssmith23@yahoo.com,4920318476, Gerente de proyectos,22.71268697,3,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",1,35000,5
94,jgonzalez@gmail.com,4925871930, Jefe de obra,72.42653955,10,,0,10000,10
95,rachel.parker@yahoo.com,4924091568, Obrero,73.75098872,1,,0,20000,8
96,aaron.johnson@outlook.com,4926412087, Jefe de obra,34.99703048,6,,0,40000,2
97,jkelly67@gmail.com,4927103856, Gerente de proyectos,63.7885608,4,Certificación en seguridad ocupacional (OSHA),1,30000,6
98,amanda.miller@hotmail.com,4928936041, Arquitecto,13.60661835,5,Certificación en construcción sostenible (LEED),1,15000,9
99,t.wilson23@yahoo.com,4921470385, Ingeniero civil,73.1072506,7,Certificación en diseño estructural,1,25000,7
100,s.carter42@gmail.com,4926891753, Obrero,90.17660776,9,Certificación en diseño asistido por computadora (CAD),1,20000,8
101,perez.luisa@yahoo.com,4920163874, Gerente de proyectos,59.87862738,2,,0,25000,7
102,jessie.jackson@outlook.com,4929257401, Obrero,37.72000472,3,Certificación en gestión ambiental (ISO 14001),1,40000,2
103,j.adams25@hotmail.com,4921078365, Arquitecto,34.58756656,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
104,danny.brown@gmail.com,4925861074, Jefe de obra,91.73015609,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
105,rjones18@yahoo.com,4923948710, Ingeniero civil,29.37423879,1,Certificación en construcción sostenible (LEED),1,35000,5
106,l.hernandez31@gmail.com,4928630741, Obrero,39.98924194,5,,0,10000,10
107,karen.baker@hotmail.com,4924591783, Gerente de proyectos,46.44652584,7,,0,30000,6
108,daniel.turner@yahoo.com,4922380974, Jefe de obra,34.28682042,9,,0,20000,8
109,catherine_lee@gmail.com,4925738410, Arquitecto,37.51883626,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
110,kevin.walker23@yahoo.com,4929410853, Jefe de obra,36.39003753,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
111,jenny.martin12@outlook.com,4920623578, Ingeniero civil,16.33217726,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
112,bethany.russell@gmail.com,4923157890, Obrero,24.3043856,3,,0,40000,2
113,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,64.47802475,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
114,sara.andrews@hotmail.com,4924059182, Arquitecto,36.31994441,9,Certificación en gestión de riesgos de construcción,1,35000,5
115,j.white12@gmail.com,4921098653, Ingeniero civil,47.6062365,7,,0,15000,9
116,jennifer.scott23@yahoo.com,4928195730, Obrero,97.38585372,2,,0,20000,8
117,jason.cook@gmail.com,4924870165, Jefe de obra,32.64468541,10,Certificación en construcción sostenible (LEED),1,25000,7
118,j.barnes42@hotmail.com,4926731098, Gerente de proyectos,12.69603009,6,"Certificación en diseño estructural, Certificación en seguridad ocupacional (OSHA)",2,40000,2
119,tiffany.wong@outlook.com,4925308176, Arquitecto,92.05698148,4,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",2,15000,9
120,nathan.murray@yahoo.com,4929270413, Obrero,93.49826531,5,,0,30000,6
121,jessica97@hotmail.com,4927364851, Ingeniero civil,46.29410367,8,"Certificación en construcción sostenible (LEED) , Certificación en seguridad ocupacional (OSHA), Certificación en seguridad ocupacional (OSHA)",3,15000,9
122,mrodriguez@gmail.com,4929586102, Arquitecto,6.922623944,2,Certificación en diseño estructural,1,20000,8
123,ssmith23@yahoo.com,4920318476, Gerente de proyectos,50.51689701,3,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",1,35000,5
124,jgonzalez@gmail.com,4925871930, Jefe de obra,14.8568116,10,,0,10000,10
125,rachel.parker@yahoo.com,4924091568, Obrero,27.30287344,1,,0,20000,8
126,aaron.johnson@outlook.com,4926412087, Jefe de obra,61.69909464,6,,0,40000,2
127,jkelly67@gmail.com,4927103856, Gerente de proyectos,90.35302763,4,Certificación en seguridad ocupacional (OSHA),1,30000,6
128,amanda.miller@hotmail.com,4928936041, Arquitecto,21.78270864,5,Certificación en construcción sostenible (LEED),1,15000,9
129,t.wilson23@yahoo.com,4921470385, Ingeniero civil,18.93065333,7,Certificación en diseño estructural,1,25000,7
130,s.carter42@gmail.com,4926891753, Obrero,73.21760766,9,Certificación en diseño asistido por computadora (CAD),1,20000,8
131,perez.luisa@yahoo.com,4920163874, Gerente de proyectos,99.84686687,2,,0,25000,7
132,jessie.jackson@outlook.com,4929257401, Obrero,7.816886727,3,Certificación en gestión ambiental (ISO 14001),1,40000,2
133,j.adams25@hotmail.com,4921078365, Arquitecto,25.58886318,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
134,danny.brown@gmail.com,4925861074, Jefe de obra,97.10075363,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
135,rjones18@yahoo.com,4923948710, Ingeniero civil,58.9259727,1,Certificación en construcción sostenible (LEED),1,35000,5
136,l.hernandez31@gmail.com,4928630741, Obrero,21.3414052,5,,0,10000,10
137,karen.baker@hotmail.com,4924591783, Gerente de proyectos,71.18070216,7,,0,30000,6
138,daniel.turner@yahoo.com,4922380974, Jefe de obra,69.08696225,9,,0,20000,8
139,catherine_lee@gmail.com,4925738410, Arquitecto,8.840994191,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
140,kevin.walker23@yahoo.com,4929410853, Jefe de obra,63.03067457,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
141,jenny.martin12@outlook.com,4920623578, Ingeniero civil,71.71352164,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
142,bethany.russell@gmail.com,4923157890, Obrero,6.137540558,3,,0,40000,2
143,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,57.60486643,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
144,sara.andrews@hotmail.com,4924059182, Arquitecto,45.48300493,9,Certificación en gestión de riesgos de construcción,1,35000,5
145,j.white12@gmail.com,4921098653, Ingeniero civil,76.4593012,7,,0,15000,9
146,jennifer.scott23@yahoo.com,4928195730, Obrero,60.39929196,2,,0,20000,8
147,jason.cook@gmail.com,4924870165, Jefe de obra,62.47438738,10,Certificación en construcción sostenible (LEED),1,25000,7
148,j.barnes42@hotmail.com,4926731098, Gerente de proyectos,74.7701096,6,"Certificación en diseño estructural, Certificación en seguridad ocupacional (OSHA)",2,40000,2
149,tiffany.wong@outlook.com,4925308176, Arquitecto,3.675434177,4,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",2,15000,9
150,nathan.murray@yahoo.com,4929270413, Obrero,54.69087977,5,,0,30000,6
151,jessica97@hotmail.com,4927364851, Ingeniero civil,63.70854356,8,"Certificación en construcción sostenible (LEED) , Certificación en seguridad ocupacional (OSHA), Certificación en seguridad ocupacional (OSHA)",3,15000,9
152,mrodriguez@gmail.com,4929586102, Arquitecto,77.65521409,2,Certificación en diseño estructural,1,20000,8
153,ssmith23@yahoo.com,4920318476, Gerente de proyectos,7.019397094,3,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",1,35000,5
154,jgonzalez@gmail.com,4925871930, Jefe de obra,25.76470089,10,,0,10000,10
155,rachel.parker@yahoo.com,4924091568, Obrero,41.69140586,1,,0,20000,8
156,aaron.johnson@outlook.com,4926412087, Jefe de obra,36.13434914,6,,0,40000,2
157,jkelly67@gmail.com,4927103856, Gerente de proyectos,86.71116341,4,Certificación en seguridad ocupacional (OSHA),1,30000,6
158,amanda.miller@hotmail.com,4928936041, Arquitecto,67.63021078,5,Certificación en construcción sostenible (LEED),1,15000,9
159,t.wilson23@yahoo.com,4921470385, Ingeniero civil,46.92323119,7,Certificación en diseño estructural,1,25000,7
160,s.carter42@gmail.com,4926891753, Obrero,31.79341247,9,Certificación en diseño asistido por computadora (CAD),1,20000,8
161,perez.luisa@yahoo.com,4920163874, Gerente de proyectos,39.5482419,2,,0,25000,7
162,jessie.jackson@outlook.com,4929257401, Obrero,82.45090503,3,Certificación en gestión ambiental (ISO 14001),1,40000,2
163,j.adams25@hotmail.com,4921078365, Arquitecto,21.9203367,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
164,danny.brown@gmail.com,4925861074, Jefe de obra,26.53335844,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
165,rjones18@yahoo.com,4923948710, Ingeniero civil,26.85655428,1,Certificación en construcción sostenible (LEED),1,35000,5
166,l.hernandez31@gmail.com,4928630741, Obrero,86.1751585,5,,0,10000,10
167,karen.baker@hotmail.com,4924591783, Gerente de proyectos,30.01288687,7,,0,30000,6
168,daniel.turner@yahoo.com,4922380974, Jefe de obra,20.11018427,9,,0,20000,8
169,catherine_lee@gmail.com,4925738410, Arquitecto,70.96716488,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
170,kevin.walker23@yahoo.com,4929410853, Jefe de obra,74.42721214,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
171,jenny.martin12@outlook.com,4920623578, Ingeniero civil,4.98510711,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
172,bethany.russell@gmail.com,4923157890, Obrero,7.095752102,3,,0,40000,2
173,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,25.83304023,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
174,sara.andrews@hotmail.com,4924059182, Arquitecto,37.64428934,9,Certificación en gestión de riesgos de construcción,1,35000,5
175,j.white12@gmail.com,4921098653, Ingeniero civil,81.60279396,7,,0,15000,9
176,jennifer.scott23@yahoo.com,4928195730, Obrero,52.43544946,2,,0,20000,8
177,jason.cook@gmail.com,4924870165, Jefe de obra,8.503019184,10,Certificación en construcción sostenible (LEED),1,25000,7
178,j.barnes42@hotmail.com,4926731098, Gerente de proyectos,40.19643385,6,"Certificación en diseño estructural, Certificación en seguridad ocupacional (OSHA)",2,40000,2
179,tiffany.wong@outlook.com,4925308176, Arquitecto,49.79494626,4,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",2,15000,9
180,nathan.murray@yahoo.com,4929270413, Obrero,61.15549616,5,,0,30000,6
181,jessica97@hotmail.com,4927364851, Ingeniero civil,69.96345392,8,"Certificación en construcción sostenible (LEED) , Certificación en seguridad ocupacional (OSHA), Certificación en seguridad ocupacional (OSHA)",3,15000,9
182,mrodriguez@gmail.com,4929586102, Arquitecto,62.54348799,2,Certificación en diseño estructural,1,20000,8
183,ssmith23@yahoo.com,4920318476, Gerente de proyectos,48.71220599,3,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",1,35000,5
184,jgonzalez@gmail.com,4925871930, Jefe de obra,59.43158807,10,,0,10000,10
185,rachel.parker@yahoo.com,4924091568, Obrero,58.47836858,1,,0,20000,8
186,aaron.johnson@outlook.com,4926412087, Jefe de obra,42.15862981,6,,0,40000,2
187,jkelly67@gmail.com,4927103856, Gerente de proyectos,76.50128463,4,Certificación en seguridad ocupacional (OSHA),1,30000,6
188,amanda.miller@hotmail.com,4928936041, Arquitecto,42.07265851,5,Certificación en construcción sostenible (LEED),1,15000,9
189,t.wilson23@yahoo.com,4921470385, Ingeniero civil,90.82431314,7,Certificación en diseño estructural,1,25000,7
190,s.carter42@gmail.com,4926891753, Obrero,98.72615428,9,Certificación en diseño asistido por computadora (CAD),1,20000,8
191,perez.luisa@yahoo.com,4920163874, Gerente de proyectos,54.38775836,2,,0,25000,7
192,jessie.jackson@outlook.com,4929257401, Obrero,73.26767491,3,Certificación en gestión ambiental (ISO 14001),1,40000,2
193,j.adams25@hotmail.com,4921078365, Arquitecto,2.439345199,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
194,danny.brown@gmail.com,4925861074, Jefe de obra,56.71377276,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
195,rjones18@yahoo.com,4923948710, Ingeniero civil,95.62635991,1,Certificación en construcción sostenible (LEED),1,35000,5
196,l.hernandez31@gmail.com,4928630741, Obrero,6.344086596,5,,0,10000,10
197,karen.baker@hotmail.com,4924591783, Gerente de proyectos,44.27876535,7,,0,30000,6
198,daniel.turner@yahoo.com,4922380974, Jefe de obra,32.62261513,9,,0,20000,8
199,catherine_lee@gmail.com,4925738410, Arquitecto,42.85305967,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
200,kevin.walker23@yahoo.com,4929410853, Jefe de obra,23.52985544,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
201,jenny.martin12@outlook.com,4920623578, Ingeniero civil,4.384752786,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
202,bethany.russell@gmail.com,4923157890, Obrero,8.394884306,3,,0,40000,2
203,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,98.49979245,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
204,sara.andrews@hotmail.com,4924059182, Arquitecto,66.67286032,9,Certificación en gestión de riesgos de construcción,1,35000,5
205,j.white12@gmail.com,4921098653, Ingeniero civil,97.69061521,7,,0,15000,9
206,jennifer.scott23@yahoo.com,4928195730, Obrero,57.19513313,2,,0,20000,8
207,jason.cook@gmail.com,4924870165, Jefe de obra,15.22700226,10,Certificación en construcción sostenible (LEED),1,25000,7
208,j.barnes42@hotmail.com,4926731098, Gerente de proyectos,83.51263008,6,"Certificación en diseño estructural, Certificación en seguridad ocupacional (OSHA)",2,40000,2
209,tiffany.wong@outlook.com,4925308176, Arquitecto,83.20133777,4,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",2,15000,9
210,nathan.murray@yahoo.com,4929270413, Obrero,5.548189355,5,,0,30000,6
211,jessica97@hotmail.com,4927364851, Ingeniero civil,93.67189689,8,"Certificación en construcción sostenible (LEED) , Certificación en seguridad ocupacional (OSHA), Certificación en seguridad ocupacional (OSHA)",3,15000,9
212,mrodriguez@gmail.com,4929586102, Arquitecto,54.78302407,2,Certificación en diseño estructural,1,20000,8
213,ssmith23@yahoo.com,4920318476, Gerente de proyectos,46.44758137,3,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",1,35000,5
214,jgonzalez@gmail.com,4925871930, Jefe de obra,92.47790524,10,,0,10000,10
215,rachel.parker@yahoo.com,4924091568, Obrero,49.80334515,1,,0,20000,8
216,aaron.johnson@outlook.com,4926412087, Jefe de obra,26.92380871,6,,0,40000,2
217,jkelly67@gmail.com,4927103856, Gerente de proyectos,99.91334635,4,Certificación en seguridad ocupacional (OSHA),1,30000,6
218,amanda.miller@hotmail.com,4928936041, Arquitecto,74.17470178,5,Certificación en construcción sostenible (LEED),1,15000,9
219,t.wilson23@yahoo.com,4921470385, Ingeniero civil,39.15588714,7,Certificación en diseño estructural,1,25000,7
220,s.carter42@gmail.com,4926891753, Obrero,23.74872037,9,Certificación en diseño asistido por computadora (CAD),1,20000,8
221,perez.luisa@yahoo.com,4920163874, Gerente de proyectos,17.49273807,2,,0,25000,7
222,jessie.jackson@outlook.com,4929257401, Obrero,3.165146556,3,Certificación en gestión ambiental (ISO 14001),1,40000,2
223,j.adams25@hotmail.com,4921078365, Arquitecto,3.856073304,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
224,danny.brown@gmail.com,4925861074, Jefe de obra,1.134160409,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
225,rjones18@yahoo.com,4923948710, Ingeniero civil,89.14750984,1,Certificación en construcción sostenible (LEED),1,35000,5
226,l.hernandez31@gmail.com,4928630741, Obrero,41.14628808,5,,0,10000,10
227,karen.baker@hotmail.com,4924591783, Gerente de proyectos,81.63684575,7,,0,30000,6
228,daniel.turner@yahoo.com,4922380974, Jefe de obra,69.81472475,9,,0,20000,8
229,catherine_lee@gmail.com,4925738410, Arquitecto,13.40089734,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
230,kevin.walker23@yahoo.com,4929410853, Jefe de obra,22.98511865,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
231,jenny.martin12@outlook.com,4920623578, Ingeniero civil,36.64965777,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
232,bethany.russell@gmail.com,4923157890, Obrero,22.75191499,3,,0,40000,2
233,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,45.03283572,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
